Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489439,POST,POSTAGE,3,2009-12-01 09:28:00,18.0,12682.0,France
489444,POST,POSTAGE,1,2009-12-01 09:55:00,141.0,12636.0,USA
489447,POST,POSTAGE,1,2009-12-01 10:10:00,130.0,12362.0,Belgium
489462,90200D,PINK SWEETHEART BRACELET,3,2009-12-01 10:49:00,4.25,17592.0,United Kingdom
489462,90003D,CRYSTAL PAIR HEART HAIR SLIDES,3,2009-12-01 10:49:00,3.75,17592.0,United Kingdom
489462,90082D,DIAMANTE BOW BROOCH BLACK COLOUR,2,2009-12-01 10:49:00,6.35,17592.0,United Kingdom
489488,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4,2009-12-01 10:59:00,3.75,17238.0,United Kingdom
489514,47591D,PINK FAIRY CAKE CHILD'S APRON,50,2009-12-01 11:21:00,1.65,15311.0,United Kingdom
489514,82613D,METAL SIGN CUPCAKE SINGLE HOOK,2,2009-12-01 11:21:00,1.25,15311.0,United Kingdom
489519,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,3,2009-12-01 11:37:00,5.95,17700.0,United Kingdom
489519,90036D,"FLOWER GLASS GARLAND NECKL.36""BLACK",3,2009-12-01 11:37:00,7.95,17700.0,United Kingdom
489520,85232D,SET/3 DECOUPAGE STACKING TINS,3,2009-12-01 11:41:00,4.95,14911.0,EIRE
489522,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,1,2009-12-01 11:45:00,3.75,15998.0,United Kingdom
489526,POST,POSTAGE,6,2009-12-01 11:50:00,18.0,12533.0,Germany
489529,84402D,PINK DRESS JEWELLERY STAND ,1,2009-12-01 11:51:00,2.95,17984.0,United Kingdom
489532,85049D,BRIGHT BLUES RIBBONS ,12,2009-12-01 11:58:00,1.25,13394.0,United Kingdom
489536,17164D,ASS COL SMALL SAND FROG P'WEIGHT,1,2009-12-01 12:13:00,0.42,16393.0,United Kingdom
489536,85170D,SET/6 PINK BIRD T-LIGHT CANDLES,1,2009-12-01 12:13:00,2.1,16393.0,United Kingdom
489546,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-01 12:30:00,3.75,14156.0,EIRE
489546,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 12:30:00,1.95,14156.0,EIRE
489552,85049D,BRIGHT BLUES RIBBONS ,2,2009-12-01 12:36:00,1.25,17063.0,United Kingdom
489552,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-01 12:36:00,3.75,17063.0,United Kingdom
489557,16169D,WRAP WINTER FOREST,25,2009-12-01 12:52:00,0.42,12490.0,France
489557,POST,POSTAGE,4,2009-12-01 12:52:00,18.0,12490.0,France
489560,17164D,ASS COL SMALL SAND FROG P'WEIGHT,288,2009-12-01 12:56:00,0.37,13526.0,United Kingdom
489560,17165D,ASS COL LARGE SAND FROG P'WEIGHT,108,2009-12-01 12:56:00,0.85,13526.0,United Kingdom
489560,17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,12,2009-12-01 12:56:00,0.42,13526.0,United Kingdom
489561,16169D,WRAP WINTER FOREST,25,2009-12-01 12:57:00,0.42,14654.0,United Kingdom
489562,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,1,2009-12-01 13:07:00,5.95,17998.0,United Kingdom
489564,90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,12,2009-12-01 13:13:00,2.1,13526.0,United Kingdom
489566,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 13:16:00,1.95,17742.0,United Kingdom
489571,72799D,BLUE PILLAR CANDLE SILVER FLOCK,2,2009-12-01 13:29:00,2.95,15967.0,United Kingdom
489571,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,1,2009-12-01 13:29:00,2.55,15967.0,United Kingdom
489572,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,1,2009-12-01 13:29:00,5.95,17611.0,United Kingdom
489574,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,2,2009-12-01 13:31:00,5.95,13097.0,United Kingdom
489574,85232D,SET/3 DECOUPAGE STACKING TINS,2,2009-12-01 13:31:00,4.95,13097.0,United Kingdom
489575,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 13:37:00,1.95,13590.0,United Kingdom
489582,84984D,ORIENTAL RED C/COVER ,12,2009-12-01 13:47:00,4.25,14543.0,United Kingdom
489594,79302M,"ART LIGHTS,FUNK MONKEY",1,2009-12-01 14:19:00,2.95,15005.0,United Kingdom
489598,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 14:35:00,1.95,16620.0,United Kingdom
489599,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,3,2009-12-01 14:40:00,5.95,12758.0,Portugal
489617,46000M,POLYESTER FILLER PAD 45x45cm,4,2009-12-01 14:59:00,1.55,13442.0,United Kingdom
489640,84559D,3D SHEET OF SEA WORLD STICKERS,15,2009-12-01 16:17:00,0.85,17345.0,United Kingdom
489640,17165D,ASS COL LARGE SAND FROG P'WEIGHT,8,2009-12-01 16:17:00,1.05,17345.0,United Kingdom
489640,17164D,ASS COL SMALL SAND FROG P'WEIGHT,36,2009-12-01 16:17:00,0.42,17345.0,United Kingdom
489656,16169D,WRAP WINTER FOREST,25,2009-12-01 17:28:00,0.42,17428.0,United Kingdom
489661,15044D,RED PAPER PARASOL,2,2009-12-01 17:45:00,2.95,17246.0,United Kingdom
489672,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-02 09:21:00,1.95,14831.0,United Kingdom
489695,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,3,2009-12-02 10:48:00,5.95,16202.0,United Kingdom
489743,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,18,2009-12-02 11:24:00,3.75,16550.0,United Kingdom
489766,16169D,WRAP WINTER FOREST,25,2009-12-02 11:34:00,0.42,17818.0,United Kingdom
489766,85049D,BRIGHT BLUES RIBBONS ,1,2009-12-02 11:34:00,1.25,17818.0,United Kingdom
489766,85170D,SET/6 PINK BIRD T-LIGHT CANDLES,1,2009-12-02 11:34:00,2.1,17818.0,United Kingdom
489787,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,2,2009-12-02 11:53:00,3.75,15542.0,United Kingdom
489791,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,2,2009-12-02 12:06:00,0.85,15542.0,United Kingdom
489797,47591D,PINK FAIRY CAKE CHILD'S APRON,3,2009-12-02 12:19:00,1.95,15581.0,United Kingdom
489798,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-02 12:22:00,1.95,13740.0,United Kingdom
489800,84249D,FAIRY CAKE GREETINGS CARD,12,2009-12-02 12:26:00,0.42,17768.0,United Kingdom
489809,17129D,CLEAR COLOUR GLASS GEMS IN BAG,12,2009-12-02 12:46:00,0.85,13457.0,United Kingdom
489810,46000M,POLYESTER FILLER PAD 45x45cm,4,2009-12-02 12:47:00,1.55,18108.0,United Kingdom
489812,85018D,YULETIDE IMAGES S/6 PAPER BOXES,1,2009-12-02 13:00:00,2.55,17377.0,United Kingdom
489814,85032D,YULETIDE IMAGES GIFT WRAP SET,12,2009-12-02 13:06:00,2.1,14669.0,United Kingdom
489822,90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,4,2009-12-02 13:26:00,2.1,14204.0,United Kingdom
489822,72754D,F FAIRY POTPOURRI CUSHIONS SUMMER,1,2009-12-02 13:26:00,1.69,14204.0,United Kingdom
489827,85018D,YULETIDE IMAGES S/6 PAPER BOXES,12,2009-12-02 13:51:00,2.55,17412.0,United Kingdom
489830,90200D,PINK SWEETHEART BRACELET,5,2009-12-02 13:57:00,4.25,13623.0,United Kingdom
489830,90002D,FLOWER BURST SILVER RING CRYSTAL,2,2009-12-02 13:57:00,3.75,13623.0,United Kingdom
489830,90175D,TIGRIS EYE CHUNKY CHARM BRACELET,2,2009-12-02 13:57:00,8.95,13623.0,United Kingdom
489832,47591D,PINK FAIRY CAKE CHILD'S APRON,2,2009-12-02 14:06:00,1.95,14549.0,United Kingdom
489832,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,3,2009-12-02 14:06:00,0.85,14549.0,United Kingdom
489833,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,1,2009-12-02 14:09:00,5.95,14980.0,United Kingdom
489863,47591D,PINK FAIRY CAKE CHILD'S APRON,1,2009-12-02 14:55:00,1.95,15917.0,United Kingdom
489866,84705D,CHERRY BLOSSOM PHOTO FRAME ,2,2009-12-02 15:04:00,4.65,16200.0,United Kingdom
489866,85170D,SET/6 PINK BIRD T-LIGHT CANDLES,2,2009-12-02 15:04:00,2.1,16200.0,United Kingdom
489866,84249D,FAIRY CAKE GREETINGS CARD,12,2009-12-02 15:04:00,0.42,16200.0,United Kingdom
489866,84705D,CHERRY BLOSSOM PHOTO FRAME ,1,2009-12-02 15:04:00,4.65,16200.0,United Kingdom
489871,47591D,PINK FAIRY CAKE CHILD'S APRON,100,2009-12-02 15:17:00,1.65,15523.0,United Kingdom
489875,46000M,POLYESTER FILLER PAD 45x45cm,4,2009-12-02 15:41:00,1.55,17841.0,United Kingdom
489875,35599D,PINK AND WHITE CHRISTMAS TREE 120CM,2,2009-12-02 15:41:00,2.95,17841.0,United Kingdom
489880,35751D,PINK CURRENT CANDLE RING,28,2009-12-02 16:18:00,0.19,13313.0,United Kingdom
489883,POST,POSTAGE,3,2009-12-02 16:24:00,18.0,12437.0,France
489888,84402D,PINK DRESS JEWELLERY STAND ,36,2009-12-02 16:49:00,0.85,14841.0,United Kingdom
489894,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,12,2009-12-02 17:18:00,0.85,17716.0,United Kingdom
489895,84569D,PACK 6 HEART/ICE-CREAM PATCHES,12,2009-12-03 07:25:00,1.25,12779.0,Poland
489897,85032D,YULETIDE IMAGES GIFT WRAP SET,6,2009-12-03 09:10:00,2.1,15255.0,United Kingdom
489900,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,12,2009-12-03 09:44:00,1.25,14771.0,United Kingdom
489912,85185D,FROG SOCK PUPPET,6,2009-12-03 10:26:00,2.95,13931.0,United Kingdom
489914,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-03 10:28:00,3.75,12921.0,United Kingdom
489916,16169M,WRAP DAISY CARPET ,25,2009-12-03 10:37:00,0.42,15194.0,United Kingdom
490002,17164D,ASS COL SMALL SAND FROG P'WEIGHT,4,2009-12-03 11:46:00,0.42,17322.0,United Kingdom
490003,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-03 11:51:00,3.75,16159.0,United Kingdom
490008,84249D,FAIRY CAKE GREETINGS CARD,12,2009-12-03 12:10:00,0.42,15768.0,United Kingdom
490008,47591D,PINK FAIRY CAKE CHILD'S APRON,2,2009-12-03 12:10:00,1.95,15768.0,United Kingdom
490008,16161M,WRAP  PINK FLOCK,25,2009-12-03 12:10:00,0.42,15768.0,United Kingdom
490009,84569D,PACK 6 HEART/ICE-CREAM PATCHES,1,2009-12-03 12:13:00,1.25,12835.0,United Kingdom
490012,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,12,2009-12-03 12:27:00,3.75,15179.0,United Kingdom
490013,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-03 12:27:00,1.95,17069.0,United Kingdom
490017,82613D,METAL SIGN CUPCAKE SINGLE HOOK,1,2009-12-03 12:31:00,1.25,14159.0,United Kingdom
490017,47591D,PINK FAIRY CAKE CHILD'S APRON,1,2009-12-03 12:31:00,1.95,14159.0,United Kingdom
490024,90214D,"LETTER ""D"" BLING KEY RING",1,2009-12-03 12:40:00,1.25,14606.0,United Kingdom
490056,84875D,BLUE SQUARE COMPACT MIRROR,1,2009-12-03 13:25:00,3.75,13208.0,United Kingdom
490059,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,576,2009-12-03 13:30:00,3.0,18102.0,United Kingdom
490060,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,12,2009-12-03 13:32:00,0.85,13468.0,United Kingdom
490063,90003D,CRYSTAL PAIR HEART HAIR SLIDES,1,2009-12-03 13:49:00,3.75,17271.0,United Kingdom
490067,79190D,RETRO PLASTIC DAISY TRAY,15,2009-12-03 14:02:00,0.42,15856.0,United Kingdom
490078,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,2,2009-12-03 15:09:00,5.95,17853.0,United Kingdom
490083,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,2,2009-12-03 15:35:00,5.95,14031.0,United Kingdom
490090,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,1,2009-12-03 15:53:00,0.85,15581.0,United Kingdom
490094,72045D,ROSES ON BLUE TEACUP CANDLE ,504,2009-12-03 15:56:00,1.69,17949.0,United Kingdom
490093,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,12,2009-12-03 15:56:00,0.85,12949.0,United Kingdom
490114,47591D,PINK FAIRY CAKE CHILD'S APRON,4,2009-12-03 17:29:00,1.95,18168.0,United Kingdom
490118,46000M,POLYESTER FILLER PAD 45x45cm,4,2009-12-03 17:46:00,1.55,17851.0,United Kingdom
490124,15044D,RED PAPER PARASOL,1,2009-12-03 18:08:00,2.95,16791.0,United Kingdom
490128,90200D,PINK SWEETHEART BRACELET,2,2009-12-03 18:23:00,4.25,15884.0,United Kingdom
490132,46000M,POLYESTER FILLER PAD 45x45cm,8,2009-12-03 18:30:00,1.55,17343.0,United Kingdom
490140,84625D,WHITE NEWBAROQUE CANDLESTICK CANDLE,4,2009-12-03 20:03:00,2.95,12872.0,United Kingdom
490141,90040D,MURANO STYLE GLASS BRACELET PINK,3,2009-12-04 08:24:00,3.5,15755.0,United Kingdom
490143,85018D,YULETIDE IMAGES S/6 PAPER BOXES,24,2009-12-04 08:40:00,2.1,14286.0,United Kingdom
490143,85032D,YULETIDE IMAGES GIFT WRAP SET,12,2009-12-04 08:40:00,2.1,14286.0,United Kingdom
490144,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,6,2009-12-04 08:46:00,3.75,13154.0,United Kingdom
490151,17109D,FLOWER FAIRY INCENSE BOUQUET,6,2009-12-04 09:49:00,1.69,16645.0,United Kingdom
490151,72755D,FLOWER FAIRY OIL BURNER SET SUMMER,4,2009-12-04 09:49:00,4.25,16645.0,United Kingdom
490151,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",6,2009-12-04 09:49:00,2.55,16645.0,United Kingdom
490151,17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,12,2009-12-04 09:49:00,0.42,16645.0,United Kingdom
490152,84932D,SMALL ORIENTAL RED FOLDING STOOL,3,2009-12-04 10:00:00,8.5,12714.0,France
490152,POST,POSTAGE,7,2009-12-04 10:00:00,18.0,12714.0,France
