Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,,United Kingdom
489463,71477,short,-240,2009-12-01 10:52:00,0.0,,United Kingdom
489467,85123A,21733 mixed,-192,2009-12-01 10:53:00,0.0,,United Kingdom
489521,21646,,-50,2009-12-01 11:44:00,0.0,,United Kingdom
489525,85226C,BLUE PULL BACK RACING CAR,1,2009-12-01 11:49:00,0.55,,United Kingdom
489525,85227,SET/6 3D KIT CARDS FOR KIDS,1,2009-12-01 11:49:00,0.85,,United Kingdom
489548,22271,FELTCRAFT DOLL ROSIE,1,2009-12-01 12:32:00,2.95,,United Kingdom
489548,22254,FELT TOADSTOOL LARGE,12,2009-12-01 12:32:00,1.25,,United Kingdom
489548,22273,FELTCRAFT DOLL MOLLY,3,2009-12-01 12:32:00,2.95,,United Kingdom
489548,22195,LARGE HEART MEASURING SPOONS,1,2009-12-01 12:32:00,1.65,,United Kingdom
489548,22131,FOOD CONTAINER SET 3 LOVE HEART ,2,2009-12-01 12:32:00,1.95,,United Kingdom
489548,22079,RIBBON REEL HEARTS DESIGN ,10,2009-12-01 12:32:00,1.65,,United Kingdom
489548,22138,BAKING SET 9 PIECE RETROSPOT ,3,2009-12-01 12:32:00,4.95,,United Kingdom
489548,22147,FELTCRAFT BUTTERFLY HEARTS,2,2009-12-01 12:32:00,1.45,,United Kingdom
489548,22142,CHRISTMAS CRAFT WHITE FAIRY ,2,2009-12-01 12:32:00,1.45,,United Kingdom
489548,22150, 3 STRIPEY MICE FELTCRAFT,2,2009-12-01 12:32:00,1.95,,United Kingdom
489548,20804,GLASS CHICKEN BUTTER DISH,1,2009-12-01 12:32:00,1.65,,United Kingdom
489548,22196,SMALL HEART MEASURING SPOONS,8,2009-12-01 12:32:00,0.85,,United Kingdom
489548,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3,2009-12-01 12:32:00,2.95,,United Kingdom
489548,21115,ROSE CARAVAN DOORSTOP,1,2009-12-01 12:32:00,6.75,,United Kingdom
489548,21067,VINTAGE RED TEATIME MUG,6,2009-12-01 12:32:00,1.25,,United Kingdom
489548,22134,LADLE LOVE HEART RED ,12,2009-12-01 12:32:00,0.42,,United Kingdom
489548,22132,RED LOVE HEART SHAPE CUP,12,2009-12-01 12:32:00,0.85,,United Kingdom
489548,22196,SMALL HEART MEASURING SPOONS,1,2009-12-01 12:32:00,0.85,,United Kingdom
489548,22195,LARGE HEART MEASURING SPOONS,5,2009-12-01 12:32:00,1.65,,United Kingdom
489548,21086,SET/6 RED SPOTTY PAPER CUPS,25,2009-12-01 12:32:00,0.65,,United Kingdom
489548,20963,APPLE BATH SPONGE,10,2009-12-01 12:32:00,1.25,,United Kingdom
489548,85053,FRENCH ENAMEL CANDLEHOLDER,1,2009-12-01 12:32:00,2.1,,United Kingdom
489548,84670,JAPANESE CROCHETED ANIMAL,12,2009-12-01 12:32:00,0.42,,United Kingdom
489548,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,2,2009-12-01 12:32:00,2.55,,United Kingdom
489548,21558,SKULL LUNCHBOX WITH CUTLERY ,3,2009-12-01 12:32:00,2.55,,United Kingdom
489548,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,1,2009-12-01 12:32:00,2.55,,United Kingdom
489548,21004,ROSE DU SUD CHILDS APRON,3,2009-12-01 12:32:00,4.25,,United Kingdom
489548,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,1,2009-12-01 12:32:00,1.65,,United Kingdom
489548,21980,PACK OF 12 RED SPOTTY TISSUES ,12,2009-12-01 12:32:00,0.29,,United Kingdom
489548,35004P,SET OF 3 PINK FLYING DUCKS,1,2009-12-01 12:32:00,5.45,,United Kingdom
489548,21321,GLASS CHALICE BLUE  LARGE ,6,2009-12-01 12:32:00,2.55,,United Kingdom
489548,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1,2009-12-01 12:32:00,8.5,,United Kingdom
489548,22276,WASH BAG VINTAGE ROSE PAISLEY,1,2009-12-01 12:32:00,2.55,,United Kingdom
489548,21094,SET/6 RED SPOTTY PAPER PLATES,22,2009-12-01 12:32:00,0.85,,United Kingdom
489548,20753,RETRO PINK SPOT WASHING UP GLOVES,1,2009-12-01 12:32:00,2.1,,United Kingdom
489548,20754,RETRO RED SPOTTY WASHING UP GLOVES,2,2009-12-01 12:32:00,2.1,,United Kingdom
489548,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,3,2009-12-01 12:32:00,2.1,,United Kingdom
489548,21489,BLUE WHITE SCARF HOT WATER BOTTLE,1,2009-12-01 12:32:00,3.95,,United Kingdom
489548,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2009-12-01 12:32:00,3.95,,United Kingdom
489548,22281,EASTER TREE YELLOW BIRDS,2,2009-12-01 12:32:00,5.95,,United Kingdom
489548,21320,GLASS CHALICE GREEN  LARGE ,6,2009-12-01 12:32:00,2.55,,United Kingdom
489548,22302,COFFEE MUG PEARS  DESIGN,6,2009-12-01 12:32:00,2.55,,United Kingdom
489548,22303,COFFEE MUG APPLES DESIGN,6,2009-12-01 12:32:00,2.55,,United Kingdom
489548,21034,REX CASH+CARRY JUMBO SHOPPER,3,2009-12-01 12:32:00,0.95,,United Kingdom
489548,21187,WHITE BELL HONEYCOMB PAPER GARLAND ,2,2009-12-01 12:32:00,1.65,,United Kingdom
489548,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,6,2009-12-01 12:32:00,1.65,,United Kingdom
489548,22083,PAPER CHAIN KIT RETRO SPOT,3,2009-12-01 12:32:00,2.95,,United Kingdom
489548,79000,MOROCCAN TEA GLASS,12,2009-12-01 12:32:00,0.85,,United Kingdom
489548,22080,RIBBON REEL SPOTS DESIGN ,5,2009-12-01 12:32:00,1.65,,United Kingdom
489548,84706F,RED PEONY TABLE CLOCK,1,2009-12-01 12:32:00,8.95,,United Kingdom
489548,22274,FELTCRAFT DOLL EMILY,1,2009-12-01 12:32:00,2.95,,United Kingdom
489596,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,2,2009-12-01 14:27:00,8.5,,United Kingdom
489597,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1,2009-12-01 14:28:00,5.17,,United Kingdom
489597,17129D,CLEAR COLOUR GLASS GEMS IN BAG,1,2009-12-01 14:28:00,1.7,,United Kingdom
489597,20616,CHERRY BLOSSOM PASSPORT COVER,1,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20618,QUEEN OF THE SKIES PASSPORT COVER ,1,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20652,BLUE SPOTTY LUGGAGE TAG ,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20654,FIRST CLASS LUGGAGE TAG ,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20655,QUEEN OF SKIES LUGGAGE TAG,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20659,ECONOMY LUGGAGE TAG,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20674,GREEN SPOTTY BOWL,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20675,BLUE SPOTTY BOWL,2,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20677,PINK SPOTTY BOWL,2,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20682,RED SPOTTY CHILDS UMBRELLA,1,2009-12-01 14:28:00,6.91,,United Kingdom
489597,20694,FLORAL PINK MONSTER,1,2009-12-01 14:28:00,7.78,,United Kingdom
489597,20695,FLORAL BLUE MONSTER,1,2009-12-01 14:28:00,8.65,,United Kingdom
489597,20712,JUMBO BAG WOODLAND ANIMALS,6,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20714,POSY SHOPPER BAG,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20719,WOODLAND CHARLOTTE BAG,1,2009-12-01 14:28:00,1.7,,United Kingdom
489597,20724,RED SPOTTY CHARLOTTE BAG,3,2009-12-01 14:28:00,1.7,,United Kingdom
489597,20725,LUNCH BAG RED SPOTTY,1,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20729,RED SPOTTY CANDY BAG,1,2009-12-01 14:28:00,2.57,,United Kingdom
489597,20739,*USB Office Glitter Lamp,1,2009-12-01 14:28:00,8.65,,United Kingdom
489597,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,3,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20753,RETRO PINK SPOT WASHING UP GLOVES,1,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20754,RETRO RED SPOTTY WASHING UP GLOVES,2,2009-12-01 14:28:00,4.3,,United Kingdom
489597,20761,BLUE PAISLEY SKETCHBOOK,1,2009-12-01 14:28:00,7.78,,United Kingdom
489597,20780,BLACK EAR MUFF HEADPHONES,1,2009-12-01 14:28:00,11.26,,United Kingdom
489597,20782,CAMOUFLAGE EAR MUFF HEADPHONES,2,2009-12-01 14:28:00,11.26,,United Kingdom
