Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,529,11,372.86,1,5,2,152,At Risk
12347.0,2,8,4851.4800000000005,5,4,5,545,Champions
12348.0,75,5,1658.3999999999999,3,4,4,344,Loyal Customers
12349.0,18,3,3678.69,5,3,5,535,Loyal Customers
12350.0,310,1,294.40000000000003,2,1,2,212,Lost
12351.0,375,1,300.93,2,1,2,212,Lost
12352.0,36,9,1729.54,4,5,4,454,Champions
12353.0,204,2,406.76,2,2,2,222,Lost
12354.0,232,1,1062.8,2,1,3,213,Lost
12355.0,214,2,947.61,2,2,3,223,Lost
12356.0,22,6,5581.7300000000005,4,4,5,445,Champions
12357.0,33,2,17375.260000000002,4,2,5,425,New Customers
12358.0,1,5,3375.67,5,4,5,545,Champions
12359.0,57,10,8854.79,4,5,5,455,Champions
12360.0,52,6,3514.59,4,4,5,445,Champions
12361.0,287,4,451.25,2,3,2,232,Needs Attention
12362.0,3,10,4705.03,5,5,5,555,Champions
12363.0,109,2,552.0,3,2,2,322,Needs Attention
12364.0,7,4,1197.6,5,3,4,534,Loyal Customers
12365.0,291,1,320.69,2,1,2,212,Lost
12366.0,633,1,500.24,1,1,2,112,Lost
12367.0,4,1,150.9,5,1,1,511,New Customers
12368.0,628,1,917.7,1,1,3,113,Lost
12369.0,413,3,1511.15,1,3,4,134,Needs Attention
12370.0,51,7,3938.86,4,4,5,445,Champions
12371.0,59,4,3291.4300000000003,3,3,5,335,Loyal Customers
12372.0,71,3,1196.04,3,3,4,334,Loyal Customers
12373.0,311,3,927.6500000000001,2,3,3,233,Needs Attention
12374.0,25,3,2567.82,4,3,4,434,Loyal Customers
12375.0,10,2,344.3,5,2,2,522,New Customers
12376.0,389,2,383.15,2,2,2,222,Lost
12377.0,315,4,3243.82,2,3,5,235,Needs Attention
12378.0,129,2,5342.92,3,2,5,325,Needs Attention
12379.0,81,4,1470.22,3,3,4,334,Loyal Customers
12380.0,21,8,7087.45,4,4,5,445,Champions
12381.0,4,3,1465.45,5,3,4,534,Loyal Customers
12383.0,184,5,1595.36,3,4,4,344,Loyal Customers
12384.0,28,2,425.27000000000004,4,2,2,422,New Customers
12385.0,379,1,1668.4,2,1,4,214,Lost
12386.0,337,2,401.9,2,2,2,222,Lost
12387.0,415,1,143.94,1,1,1,111,Lost
12388.0,15,8,3901.11,5,4,5,545,Champions
12389.0,402,3,1433.33,2,3,4,234,Needs Attention
12390.0,79,1,504.84000000000003,3,1,2,312,Needs Attention
12391.0,21,6,2665.4900000000002,4,4,4,444,Champions
12392.0,591,1,234.75000000000003,1,1,1,111,Lost
12393.0,72,6,2399.45,3,4,4,344,Loyal Customers
12394.0,63,2,1080.48,3,2,3,323,Needs Attention
12395.0,19,15,4218.67,5,5,5,555,Champions
12396.0,674,1,916.4300000000001,1,1,3,113,Lost
12397.0,35,2,2214.9,4,2,4,424,New Customers
12398.0,45,1,1419.06,4,1,4,414,New Customers
12399.0,119,7,1842.3,3,4,4,344,Loyal Customers
12400.0,414,1,205.25,1,1,1,111,Lost
12401.0,303,1,69.3,2,1,1,211,Lost
12402.0,323,6,1136.9,2,4,3,243,At Risk
12403.0,49,2,537.28,4,2,2,422,New Customers
12405.0,148,1,1374.79,3,1,4,314,Needs Attention
12406.0,22,5,6273.06,4,4,5,445,Champions
12407.0,49,5,1491.52,4,4,4,444,Champions
12408.0,32,8,3905.77,4,4,5,445,Champions
12409.0,78,7,23389.29,3,4,5,345,Loyal Customers
12410.0,308,3,773.71,2,3,3,233,Needs Attention
12411.0,409,1,346.9,1,1,2,112,Lost
12412.0,74,6,2404.93,3,4,4,344,Loyal Customers
12413.0,66,4,871.45,3,3,3,333,Loyal Customers
12414.0,217,4,532.41,2,3,2,232,Needs Attention
12415.0,24,24,143252.71,4,5,5,455,Champions
12416.0,656,1,182.28,1,1,1,111,Lost
12417.0,3,20,5878.06,5,5,5,555,Champions
12418.0,112,4,2021.2,3,3,4,334,Loyal Customers
12419.0,385,2,391.01,2,2,2,222,Lost
12420.0,63,1,585.54,3,1,2,312,Needs Attention
12421.0,15,6,874.6,5,4,3,543,Loyal Customers
12422.0,95,12,3614.0,3,5,5,355,Loyal Customers
12423.0,0,10,2258.61,5,5,4,554,Champions
12424.0,162,4,3314.35,3,3,5,335,Loyal Customers
12425.0,78,2,1726.1100000000001,3,2,4,324,Needs Attention
12426.0,194,2,1201.21,2,2,4,224,Lost
12427.0,21,3,699.8000000000001,4,3,3,433,Loyal Customers
12428.0,25,8,6242.66,4,4,5,445,Champions
12429.0,9,8,5833.05,5,4,5,545,Champions
12430.0,43,1,216.4,4,1,1,411,New Customers
12431.0,35,25,10023.89,4,5,5,455,Champions
12432.0,42,4,4359.32,4,3,5,435,Loyal Customers
12433.0,0,10,16634.24,5,5,5,555,Champions
12434.0,84,3,1103.43,3,3,3,333,Loyal Customers
12435.0,79,6,13925.93,3,4,5,345,Loyal Customers
12436.0,99,1,429.01,3,1,2,312,Needs Attention
12437.0,1,38,11220.6,5,5,5,555,Champions
12438.0,14,2,2451.25,5,2,4,524,New Customers
12439.0,682,2,1142.88,1,2,3,123,Lost
12440.0,462,2,671.7,1,2,3,123,Lost
12441.0,366,1,155.55,2,1,1,211,Lost
12442.0,3,1,144.06,5,1,1,511,New Customers
12443.0,732,1,365.31,1,1,2,112,Lost
12444.0,21,5,4037.16,4,4,5,445,Champions
12445.0,22,2,378.98,4,2,2,422,New Customers
12446.0,57,1,986.71,4,1,3,413,New Customers
12447.0,243,1,431.49,2,1,2,212,Lost
12448.0,44,1,357.7,4,1,2,412,New Customers
12449.0,22,5,4274.89,4,4,5,445,Champions
12450.0,156,5,688.2,3,4,3,343,Loyal Customers
12451.0,10,8,12470.58,5,4,5,545,Champions
12452.0,16,1,348.57,5,1,2,512,New Customers
12453.0,134,1,707.09,3,1,3,313,Needs Attention
12454.0,56,4,16459.78,4,3,5,435,Loyal Customers
12455.0,73,9,5660.6,3,5,5,355,Loyal Customers
12456.0,44,3,2556.14,4,3,4,434,Loyal Customers
12457.0,66,7,2555.91,3,4,4,344,Loyal Customers
12458.0,71,4,1434.39,3,3,4,334,Loyal Customers
12459.0,605,1,398.36,1,1,2,112,Lost
12460.0,456,1,296.65,1,1,2,112,Lost
12461.0,154,1,626.88,3,1,3,313,Needs Attention
12462.0,18,2,937.59,5,2,3,523,New Customers
12463.0,53,4,1185.93,4,3,3,433,Loyal Customers
12464.0,10,8,957.05,5,4,3,543,Loyal Customers
12465.0,17,2,682.19,5,2,3,523,New Customers
12467.0,423,1,132.8,1,1,1,111,Lost
12468.0,187,5,3223.7400000000002,2,4,5,245,At Risk
12469.0,522,2,3007.99,1,2,5,125,Lost
12470.0,689,1,206.0,1,1,1,111,Lost
12471.0,2,71,35099.9,5,5,5,555,Champions
12472.0,32,19,14903.79,4,5,5,455,Champions
12473.0,53,3,2578.77,4,3,4,434,Loyal Customers
12474.0,17,29,11279.3,5,5,5,555,Champions
12475.0,53,2,1065.64,4,2,3,423,New Customers
12476.0,15,18,12299.630000000001,5,5,5,555,Champions
12477.0,22,9,20034.420000000002,4,5,5,455,Champions
12478.0,3,1,545.99,5,1,2,512,New Customers
12479.0,11,1,473.2,5,1,2,512,New Customers
12480.0,28,7,4759.75,4,4,5,445,Champions
12481.0,22,14,10963.31,4,5,5,455,Champions
12482.0,576,27,21941.72,1,5,5,155,At Risk
12483.0,17,19,4019.38,5,5,5,555,Champions
12484.0,35,9,5523.8,4,5,5,455,Champions
12485.0,529,1,690.4,1,1,3,113,Lost
